time,center_x,center_y,t1,m1_x,m1_y,t2,m2_x,m2_y
0.03,1878.4,937.6,-3.1201673611412586,1868.8,489.6,-2.9912212255826587,1820.8,172.8
0.06,1878.4,937.6,-3.1128236147721995,1865.6,492.8,-2.9229237077158516,1795.2,176.0
0.09,1878.4,937.6,-3.0996592077163942,1859.2,480.0,-2.8101960961254733,1756.8,182.4
0.12,1878.4,937.6,-3.0769347071658117,1849.6,492.8,-2.7392715557293528,1721.6,192.0
0.15,1878.4,937.6,-3.0712861894711687,1846.4,483.2,-2.487782631650265,1657.6,236.8
0.18,1878.4,937.6,-3.0642822594103016,1843.2,483.2,-2.218188466534825,1580.8,284.8
0.21,1878.4,937.6,-3.0333220627293374,1830.4,496.0,-1.9284595778061027,1513.6,377.6
0.24,1878.4,937.6,-2.987885124531314,1808.0,483.2,-1.4452465896863709,1478.4,524.8
0.27,1878.4,937.6,-2.901849544719336,1772.8,505.6,-0.9197196053504169,1504.0,710.4
0.3,1878.4,937.6,-2.7395552839101343,1705.6,531.2,-0.21043020334647328,1635.2,860.8
0.33,1878.4,937.6,-2.503830362713097,1612.8,579.2,0.5453617994034333,1785.6,864.0
0.36,1878.4,937.6,-2.2172001850550807,1526.4,672.0,1.2951668884127656,1843.2,761.6
0.39,1878.4,937.6,-1.858077780192031,1456.0,812.8,2.0778948311872334,1744.0,652.8
0.42,1878.4,937.6,-1.4561927961937113,1433.6,988.8,2.9350565804841167,1504.0,652.8
0.45,1878.4,937.6,-1.0121970114513343,1494.4,1177.6,-2.241059687001684,1232.0,969.6
0.48,1878.4,937.6,-0.6635557263775314,1603.2,1289.6,-0.7378150601204647,1379.2,1536.0
0.51,1878.4,937.6,-0.263779866301062,1760.0,1376.0,0.738452815136041,1987.2,1625.6
0.54,1878.4,937.6,0.2656297716954655,1996.8,1372.8,1.649839220973489,2320.0,1347.2
0.57,1878.4,937.6,0.8400699948165984,2217.6,1241.6,2.0848598926845234,2489.6,1088.0
0.6,1878.4,937.6,1.3719660476998794,2307.2,1024.0,1.9222411207984484,2595.2,918.4
0.63,1878.4,937.6,1.8440860076769665,2300.8,819.2,1.6023647832826748,2604.8,809.6
0.66,1878.4,937.6,2.186847684628125,2240.0,681.6,1.2953702230988615,2534.4,764.8
0.69,1878.4,937.6,2.44685437739309,2150.4,611.2,1.1298720786357312,2435.2,745.6
0.72,1878.4,937.6,2.7002343462811536,2070.4,531.2,0.8198672643969563,2310.4,755.2
0.75,1878.4,937.6,2.8563555439400274,2003.2,512.0,0.520355303499994,2166.4,796.8
0.78,1878.4,937.6,2.954042063984424,1961.6,499.2,0.11710874456686454,2000.0,825.6
0.81,1878.4,937.6,3.0404892818534948,1923.2,496.0,-0.33667481938672716,1811.2,816.0
0.84,1878.4,937.6,-3.1344499179203797,1875.2,489.6,-0.6971922590007655,1660.8,745.6
0.87,1878.4,937.6,-3.0017702848055996,1817.6,505.6,-1.0336880727005162,1532.8,675.2
0.9,1878.4,937.6,-2.889705637499181,1766.4,502.4,-1.2341215074081695,1446.4,614.4
0.93,1878.4,937.6,-2.7247857575049563,1692.8,518.4,-1.3095777921803617,1369.6,604.8
0.96,1878.4,937.6,-2.527954641520548,1619.2,569.6,-1.380808038876181,1286.4,633.6
0.99,1878.4,937.6,-2.2499965482675046,1529.6,656.0,-1.3934345161980017,1190.4,716.8
1.02,1878.4,937.6,-1.9220168049655126,1459.2,784.0,-1.3790081848081917,1129.6,848.0
1.05,1878.4,937.6,-1.4617416683516593,1440.0,985.6,-1.5163048705541655,1088.0,1004.8
1.08,1878.4,937.6,-0.8860668155552773,1529.6,1222.4,-1.590024725894604,1196.8,1216.0
1.11,1878.4,937.6,-0.3080527810237766,1744.0,1360.0,-1.2765617616837088,1427.2,1456.0
1.14,1878.4,937.6,0.24497866312686398,1984.0,1360.0,-0.4152273355552319,1852.8,1657.6
1.17,1878.4,937.6,0.6713123842292888,2150.4,1280.0,0.7576275268040273,2374.4,1516.8
1.2,1878.4,937.6,1.0453383035859758,2259.2,1158.4,1.8958041986615448,2553.6,1059.2
1.23,1878.4,937.6,1.4299442038898333,2307.2,998.4,2.748313248535896,2432.0,697.6
1.26,1878.4,937.6,1.7959220029578205,2297.6,841.6,-2.8577985443814655,2208.0,534.4
1.29,1878.4,937.6,2.08994244104142,2259.2,720.0,-2.3021929898163767,2009.6,496.0
1.32,1878.4,937.6,2.340651700462829,2192.0,633.6,-1.8134439918126342,1868.8,553.6
1.35,1878.4,937.6,2.547541736699854,2124.8,572.8,-1.2520487663742523,1804.8,678.4
1.38,1878.4,937.6,2.7308756904751217,2051.2,540.8,-0.629529961999125,1862.4,800.0
